Year,Australian.Open,French.Open,Wimbledon,US.Open
1959,Alex Olmedo (1/2),Nicola Pietrangeli (1/2),Alex Olmedo (2/2),Neale Fraser (1/3)
1960,Rod Laver (1/11),Nicola Pietrangeli (2/2),Neale Fraser (2/3),Neale Fraser (3/3)
1961,Roy Emerson (1/12),Manuel Santana (1/4),Rod Laver (2/11),Roy Emerson (2/12)
1962,Rod Laver (3/11),Rod Laver (4/11),Rod Laver (5/11),Rod Laver (6/11)
1963,Roy Emerson (3/12),Roy Emerson (4/12),Chuck McKinley,Rafael Osuna
1964,Roy Emerson (5/12),Manuel Santana (2/4),Roy Emerson (6/12),Roy Emerson (7/12)
1965,Roy Emerson (8/12),Fred Stolle (1/2),Roy Emerson (9/12),Manuel Santana (3/4)
1966,Roy Emerson (10/12),Tony Roche,Manuel Santana (4/4),Fred Stolle (2/2)
1967,Roy Emerson (11/12),Roy Emerson (12/12),John Newcombe (1/7),John Newcombe (2/7)
1968,William Bowrey Amateur Era ends,Open Era begins  Ken Rosewall (5/8),Rod Laver (7/11),Arthur Ashe (1/3)
1969,Rod Laver (8/11),Rod Laver (9/11),Rod Laver (10/11),Rod Laver (11/11)
1970,Arthur Ashe (2/3),Jan Kodeš (1/3),John Newcombe (3/7),Ken Rosewall (6/8)
1971,Ken Rosewall (7/8),Jan Kodeš (2/3),John Newcombe (4/7),Stan Smith (1/2)
1972,Ken Rosewall (8/8),Andrés Gimeno,Stan Smith (2/2),Ilie Năstase (1/2)
1973,John Newcombe (5/7),Ilie Năstase (2/2),Jan Kodeš (3/3),John Newcombe (6/7)
1974,Jimmy Connors (1/8),Björn Borg (1/11),Jimmy Connors (2/8),Jimmy Connors (3/8)
1975,John Newcombe (7/7),Björn Borg (2/11),Arthur Ashe (3/3),Manuel Orantes
1976,Mark Edmondson,Adriano Panatta,Björn Borg (3/11),Jimmy Connors (4/8)
1977,Roscoe Tanner (Jan),Guillermo Vilas (1/4),Björn Borg (4/11),Guillermo Vilas (2/4)
1977,Vitas Gerulaitis (Dec)††††,Guillermo Vilas (1/4),Björn Borg (4/11),Guillermo Vilas (2/4)
1978,Guillermo Vilas (3/4) ††††,Björn Borg (5/11),Björn Borg (6/11),Jimmy Connors (5/8)
1979,Guillermo Vilas (4/4) ††††,Björn Borg (7/11),Björn Borg (8/11),John McEnroe (1/7)
1980,Brian Teacher ††††,Björn Borg (9/11),Björn Borg (10/11),John McEnroe (2/7)
1981,Johan Kriek (1/2) ††††,Björn Borg (11/11),John McEnroe (3/7),John McEnroe (4/7)
1982,Johan Kriek (2/2) ††††,Mats Wilander (1/7),Jimmy Connors (6/8),Jimmy Connors (7/8)
1983,Mats Wilander (2/7)††††,Yannick Noah,John McEnroe (5/7),Jimmy Connors (8/8)
1984,Mats Wilander (3/7) ††††,Ivan Lendl (1/8),John McEnroe (6/7),John McEnroe (7/7)
1985,Stefan Edberg (1/6) ††††,Mats Wilander (4/7),Boris Becker (1/6),Ivan Lendl (2/8)
1986,Tournament date changed,Ivan Lendl (3/8),Boris Becker (2/6),Ivan Lendl (4/8)
1987,Stefan Edberg (2/6),Ivan Lendl (5/8),Pat Cash,Ivan Lendl (6/8)
1988,Mats Wilander (5/7),Mats Wilander (6/7),Stefan Edberg (3/6),Mats Wilander (7/7)
1989,Ivan Lendl (7/8),Michael Chang,Boris Becker (3/6),Boris Becker (4/6)
1990,Ivan Lendl (8/8),Andrés Gómez,Stefan Edberg (4/6),Pete Sampras (1/14)
1991,Boris Becker (5/6),Jim Courier (1/4),Michael Stich,Stefan Edberg (5/6)
1992,Jim Courier (2/4),Jim Courier (3/4),Andre Agassi (1/8),Stefan Edberg (6/6)
1993,Jim Courier (4/4),Sergi Bruguera (1/2),Pete Sampras (2/14),Pete Sampras (3/14)
1994,Pete Sampras (4/14),Sergi Bruguera (2/2),Pete Sampras (5/14),Andre Agassi (2/8)
1995,Andre Agassi (3/8),Thomas Muster,Pete Sampras (6/14),Pete Sampras (7/14)
1996,Boris Becker (6/6),Yevgeny Kafelnikov (1/2),Richard Krajicek,Pete Sampras (8/14)
1997,Pete Sampras (9/14),Gustavo Kuerten (1/3),Pete Sampras (10/14),Patrick Rafter (1/2)
1998,Petr Korda,Carlos Moyá,Pete Sampras (11/14),Patrick Rafter (2/2)
1999,Yevgeny Kafelnikov (2/2),Andre Agassi (4/8),Pete Sampras (12/14),Andre Agassi (5/8)
2000,Andre Agassi (6/8),Gustavo Kuerten (2/3),Pete Sampras (13/14),Marat Safin (1/2)
2001,Andre Agassi (7/8),Gustavo Kuerten (3/3),Goran Ivanišević,Lleyton Hewitt (1/2)
2002,Thomas Johansson,Albert Costa,Lleyton Hewitt (2/2),Pete Sampras (14/14)
2003,Andre Agassi (8/8),Juan Carlos Ferrero,Roger Federer (1/20),Andy Roddick
2004,Roger Federer (2/20),Gastón Gaudio,Roger Federer (3/20),Roger Federer (4/20)
2005,Marat Safin (2/2),Rafael Nadal (1/20),Roger Federer (5/20),Roger Federer (6/20)
2006,Roger Federer (7/20),Rafael Nadal (2/20),Roger Federer (8/20),Roger Federer (9/20)
2007,Roger Federer (10/20),Rafael Nadal (3/20),Roger Federer (11/20),Roger Federer (12/20)
2008,Novak Djokovic (1/17),Rafael Nadal (4/20),Rafael Nadal (5/20),Roger Federer (13/20)
2009,Rafael Nadal (6/20),Roger Federer (14/20),Roger Federer (15/20),Juan Martín del Potro
2010,Roger Federer (16/20),Rafael Nadal  (7/20),Rafael Nadal (8/20),Rafael Nadal (9/20)
2011,Novak Djokovic (2/17),Rafael Nadal (10/20),Novak Djokovic (3/17),Novak Djokovic (4/17)
2012,Novak Djokovic (5/17),Rafael Nadal (11/20),Roger Federer (17/20),Andy Murray (1/3)
2013,Novak Djokovic (6/17),Rafael Nadal (12/20),Andy Murray (2/3),Rafael Nadal (13/20)
2014,Stan Wawrinka (1/3),Rafael Nadal (14/20),Novak Djokovic (7/17),Marin Čilić
2015,Novak Djokovic (8/17),Stan Wawrinka (2/3),Novak Djokovic (9/17),Novak Djokovic (10/17)
2016,Novak Djokovic (11/17),Novak Djokovic (12/17),Andy Murray (3/3),Stan Wawrinka (3/3)
2017,Roger Federer (18/20),Rafael Nadal (15/20),Roger Federer (19/20),Rafael Nadal (16/20)
2018,Roger Federer (20/20),Rafael Nadal (17/20),Novak Djokovic (13/17),Novak Djokovic (14/17)
2019,Novak Djokovic (15/17),Rafael Nadal (18/20),Novak Djokovic (16/17),Rafael Nadal (19/20)
2020,Novak Djokovic (17/17),Rafael Nadal (20/20) †††††,Tournament cancelled[6],Dominic Thiem
2021,"18–31 Jan, Melbourne","23 May–6 Jun, Paris","28 Jun–11 Jul, London","30 Aug–12 Sep, New York City"
